RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Koudekerke;G1098;11428;Zeeland;P29;766;714;0;;714;4;68;337;35;52;65;49;5;5;3;;6;;11;7;6;1;5;9;4;2;40;;;;;;;;;;;;
Krabbendijke;G0684;11038;Zeeland;P29;513;490;0;;490;8;45;75;38;88;42;16;;;1;;2;1;;1;;2;1;1;3;;166;;;;;;;;;;;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;682;629;0;;629;1;240;243;13;7;83;1;5;3;15;2;;1;;1;1;3;;2;3;4;;1;;;;;;;;;;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;767;668;0;;668;2;257;225;39;54;19;13;4;4;13;2;8;2;;5;1;;5;;8;5;;;2;;;;;;;;;;
Krommenie;G0413;10373;Noord-Holland;P27;1095;980;0;;980;214;126;64;38;20;191;36;20;173;28;10;2;19;;6;1;14;3;4;1;3;;3;;;;;;;4;;;;
Kruiningen;G0685;10077;Zeeland;P29;950;819;0;;819;132;51;129;59;87;192;19;8;17;5;;8;5;6;32;;2;2;5;11;1;48;;;;;;;;;;;;
Kuinre;G0167;11148;Overijssel;P23;184;173;0;;173;21;4;19;61;25;8;4;12;;;1;;;;1;5;7;;1;2;;2;;;;;;;;;;;;
Kwadijk;G0414;10775;Noord-Holland;P27;142;135;0;;135;8;53;;32;3;27;2;;2;2;;;;;3;;;1;;;2;;;;;;;;;;;;;
Laag-Nieuwkoop;G1100;10305;Utrecht;P26;100;84;0;;84;41;4;18;;19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;604;556;0;;556;14;190;107;36;8;103;26;2;6;7;6;;3;;3;;2;1;;3;3;;34;;;;;;;2;;;;
Langbroek;G0325;11413;Utrecht;P26;328;235;0;;235;61;16;133;;8;13;;;1;;1;;;;;;;;;;;;2;;;;;;;;;;;
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;168;158;0;;158;3;3;85;16;43;1;;;;;;2;1;;;;;;;3;1;;;;;;;;;;;;;
Langerak;G0543;11127;Zuid-Holland;P28;229;214;0;;214;;19;106;11;13;38;;4;4;3;;;;;;;1;;;;1;;12;1;;;;;;;;1;;
Laren;G0417;10649;Noord-Holland;P27;1004;885;0;;885;629;45;19;5;14;16;62;12;23;4;5;2;1;3;4;1;1;4;30;4;;;;;;;;;;1;;;;
Laren (Gld.);G0259;10098;Gelderland;P25;1236;1132;0;;1132;22;130;214;487;29;20;;101;28;19;5;18;;2;2;21;4;1;3;5;15;1;;;;;;5;;;;;;
Leek;G0022;10604;Groningen;P20;1582;1464;0;;1464;4;258;515;11;48;464;12;85;13;3;9;;2;10;1;3;2;;5;5;9;;2;;;;;;;;;;;3
Leende;G0805;11017;Noord-Brabant;P30;416;404;0;;404;399;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
Leens;G0023;11050;Groningen;P20;984;916;0;;916;91;94;332;130;5;202;8;4;10;5;13;1;;2;1;;2;1;1;13;;;1;;;;;;;;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;196;188;0;;188;1;5;146;1;5;1;;7;;1;2;;3;3;;;;;;;3;1;8;1;;;;;;;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;1673;1535;0;;1535;63;486;614;9;81;37;30;81;28;21;5;3;3;18;3;3;1;1;;;2;17;23;3;;;;;;;;3;;
Leersum;G0326;11142;Utrecht;P26;421;275;0;;275;11;115;85;;25;35;;;1;;1;;;;;;;;;;;;2;;;;;;;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;9898;8548;0;;8548;889;3776;822;690;243;194;376;43;156;;26;8;40;173;144;179;111;77;33;33;14;;3;;46;129;343;;;;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;3114;2857;0;;2857;161;1338;476;252;92;54;87;33;24;;6;3;11;65;30;36;10;1;14;6;69;;3;;35;17;34;;;;;;;
Leiden;G0546;10702;Zuid-Holland;P28;12884;11494;0;;11494;2128;3357;2039;688;835;371;553;345;441;59;28;33;9;;111;99;69;138;44;99;21;;4;23;;;;;;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;656;604;0;;604;86;59;305;8;80;8;6;6;5;;1;2;;;6;3;5;13;;3;2;;3;3;;;;;;;;;;
Leimuiden;G0549;11351;Zuid-Holland;P28;429;413;0;;413;184;11;84;18;79;3;5;6;4;;1;1;2;;;5;;;;7;3;;;;;;;;;;;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;969;885;0;;885;1;267;181;272;4;92;;2;1;31;2;13;;;2;1;1;3;;7;3;;;2;;;;;;;;;;
Lemsterland;G0082;10142;Fryslân;P21;1761;1516;0;;1516;103;564;342;9;156;220;10;2;5;;7;2;1;3;14;4;9;1;6;4;15;;2;;25;7;5;;;;;;;
Leusden;G0327;10978;Utrecht;P26;465;277;0;;277;189;13;32;;34;6;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;
Lexmond;G0551;10930;Zuid-Holland;P28;427;402;0;;402;3;77;122;10;92;13;3;26;8;5;;;4;4;1;;3;3;;;4;2;22;;;;;;;;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;1375;1326;0;;1326;1127;30;49;16;1;;1;34;3;5;;;;1;1;48;;;;4;;4;;;;;;2;;;;;;
Liempde;G0806;10390;Noord-Brabant;P30;421;408;0;;408;406;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Lienden;G0261;11093;Gelderland;P25;1141;1029;0;;1029;9;239;53;8;9;53;10;451;3;7;6;38;;59;4;2;1;59;10;5;;3;;;;;;;;;;;;
Lierop;G1102;11279;Noord-Brabant;P30;257;249;0;;249;247;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;413;396;0;;396;384;1;1;;;;2;6;;;;;;;;;1;;;1;;;;;;;;;;;;;;
Limbricht;G0931;11124;Limburg;P31;390;375;0;;375;363;4;;4;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;394;376;0;;376;288;36;;32;1;12;1;1;2;;;1;;;;1;;;1;;;;;;;;;;;;;;;
Linden;G1103;11305;Noord-Brabant;P30;139;132;0;;132;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linne;G0932;10990;Limburg;P31;273;263;0;;263;255;3;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
Linschoten;G0328;11324;Utrecht;P26;395;295;0;;295;112;2;95;;60;25;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Lisse;G0553;10197;Zuid-Holland;P28;1324;1211;0;;1211;629;34;234;89;127;5;24;6;2;1;1;4;2;;4;23;;2;;20;3;;;1;;;;;;;;;;
Lith;G0808;11219;Noord-Brabant;P30;354;323;0;;323;300;2;;;1;;3;6;;6;;;;;;;2;1;1;1;;;;;;;;;;;;;;
Lithoijen;G1104;10024;Noord-Brabant;P30;162;150;0;;150;149;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Lochem;G0262;11263;Gelderland;P25;1289;1171;0;;1171;31;492;74;218;26;87;23;66;36;71;2;7;;4;2;6;4;2;3;8;7;1;;;;;;1;;;;;;
Loenen;G0329;11202;Utrecht;P26;333;236;0;;236;51;22;58;;80;17;;;1;;2;;;;1;;;;;;;;4;;;;;;;;;;;
Loenersloot;G1105;10208;Utrecht;P26;110;97;0;;97;34;6;35;;16;4;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
Lonneker;G1106;11045;Overijssel;P23;4832;4069;0;;4069;847;1458;281;62;222;25;27;74;24;13;9;37;97;159;6;18;7;4;18;11;646;2;22;;;;;;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;2162;2017;0;;2017;1844;11;76;25;13;2;1;;7;3;25;1;;;1;;;1;3;4;;;;;;;;;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;701;464;0;;464;39;40;222;;108;32;;;8;;8;;;;;;;;;;;;7;;;;;;;;;;;
Loosduinen;G1107;10997;Zuid-Holland;P28;1561;1413;0;;1413;519;228;288;137;137;19;12;12;9;3;15;8;;;3;3;3;1;;;1;;12;2;;;;;;;;1;;
Lopik;G0331;10333;Utrecht;P26;416;316;0;;316;154;4;111;;19;19;;;4;;1;;;;1;;;;;;;;3;;;;;;;;;;;
Loppersum;G0024;10934;Groningen;P20;815;778;0;;778;7;185;322;16;25;151;13;7;6;5;1;;;17;;4;;;2;6;8;;3;;;;;;;;;;;
Losser;G0168;11166;Overijssel;P23;2490;2249;0;;2249;1702;297;17;49;99;7;8;16;8;5;2;1;8;4;1;2;3;1;8;4;5;2;;;;;;;;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;198;195;0;;195;194;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;163;160;0;;160;157;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Maarn;G0332;10392;Utrecht;P26;278;177;0;;177;6;43;79;;39;9;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
Maarssen;G0333;10191;Utrecht;P26;633;467;0;;467;187;138;71;;47;18;;;3;;1;;;;;;;;;;;;2;;;;;;;;;;;
Maarsseveen;G1108;10874;Utrecht;P26;333;223;0;;223;81;20;40;;72;8;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;677;486;0;;486;80;89;218;;45;44;;;3;;3;;;;3;;;;;;;;1;;;;;;;;;;;
Maasbracht;G0933;10964;Limburg;P31;358;348;0;;348;332;4;;4;;;5;1;;;;;;;;;;1;;1;;;;;;;;;;;;;;
Maasbree;G0934;11352;Limburg;P31;2296;2137;0;;2137;1909;75;10;6;1;40;19;5;2;2;;;;;1;12;1;25;28;1;;;;;;;;;;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;406;379;0;;379;1;109;103;11;25;10;6;60;15;3;;1;3;4;1;;2;1;;;8;1;15;;;;;;;;;;;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;417;397;0;;397;389;4;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;630;589;0;;589;99;16;239;25;164;3;5;15;;1;2;;1;;;;1;;;;1;2;13;2;;;;;;;;;;
Maasniel;G1110;11261;Limburg;P31;704;632;0;;632;536;36;2;26;1;5;8;5;;;;;;;;;;3;10;;;;;;;;;;;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;2005;1748;0;;1748;114;313;755;135;201;35;44;23;19;25;11;9;1;4;10;4;6;1;;;3;4;21;9;;;;;;;;1;;
Maastricht;G0935;10182;Limburg;P31;8144;7413;0;;7413;3692;2743;13;89;29;293;234;48;57;34;;;;;5;6;17;64;30;59;;;;;;;;;;;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;1041;891;0;;891;748;16;51;8;13;12;5;14;11;3;;;;;3;2;;;;5;;;;;;;;;;;;;;
Margraten;G0936;11243;Limburg;P31;277;272;0;;272;265;2;;;;;1;;;;;;;;;;;3;1;;;;;;;;;;;;;;;
Markelo;G0169;11382;Overijssel;P23;1260;1146;0;;1146;65;262;31;147;42;370;12;18;4;9;1;92;2;1;1;1;3;1;2;3;63;5;11;;;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;383;343;0;;343;3;3;115;38;164;;;1;1;1;;;1;;6;;;;;1;;;9;;;;;;;;;;;
Marum;G0025;11431;Groningen;P20;1363;1263;0;;1263;4;473;334;6;12;361;8;10;2;9;20;1;;5;3;1;;;;2;11;;;;;;;;;;;;;1
Maurik;G0264;10300;Gelderland;P25;1111;1021;0;;1021;77;192;12;1;8;298;7;318;;2;6;5;;33;6;13;1;36;1;2;;3;;;;;;;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;719;651;0;;651;285;32;41;94;45;116;5;4;1;3;8;;1;;5;3;;;1;6;;;1;;;;;;;;;;;
Meeden;G0026;10304;Groningen;P20;418;376;0;;376;2;120;108;4;4;103;4;3;9;4;2;;5;2;2;2;;1;;;1;;;;;;;;;;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;405;387;0;;387;3;42;162;22;4;12;;85;7;6;1;8;3;6;;2;2;1;;;13;;7;1;;;;;;;;;;
Meerlo;G0937;11416;Limburg;P31;446;444;0;;444;438;;;;;1;2;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;1396;1283;0;;1283;854;347;5;12;3;17;17;11;4;1;;;;;1;;;;11;;;;;;;;;;;;;;;
Meeuwen;G1111;10216;Noord-Brabant;P30;216;195;0;;195;21;8;100;20;7;3;7;22;;4;1;1;1;;;;;;;;;;;;;;;;;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;433;412;0;;412;406;1;;;;;;;;4;;;;;;;;;;1;;;;;;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;484;459;0;;459;455;1;;1;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;517;485;0;;485;447;13;;10;1;3;5;;;;;;;;;1;;1;3;1;;;;;;;;;;;;;;
Meliskerke;G1112;11221;Zeeland;P29;167;157;0;;157;;1;80;3;10;2;1;1;;;;;;1;;;;1;;;;57;;;;;;;;;;;;
Melissant;G1113;10918;Zuid-Holland;P28;428;398;0;;398;13;9;268;31;14;12;4;7;1;3;1;2;2;2;;;2;2;;;2;;20;2;;;;;;;;1;;
Menaldumadeel;G0083;11144;Fryslân;P21;2832;2573;0;;2573;117;1031;444;109;403;81;57;22;23;;5;6;1;36;31;7;20;6;6;9;32;;2;;73;31;21;;;;;;;
Meppel;G0119;11204;Drenthe;P22;2774;2431;0;;2431;33;749;341;394;256;140;86;17;18;22;;195;;7;;127;14;7;3;16;4;;2;;;;;;;;;;;
Merkelbeek;G0940;10763;Limburg;P31;211;200;0;;200;192;2;;3;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;70;68;0;;68;52;14;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Mheer;G0942;10538;Limburg;P31;227;218;0;;218;206;3;;1;;4;;1;;;;;;;1;;;;2;;;;;;;;;;;;;;;
Middelburg;G0687;10122;Zeeland;P29;4381;3921;0;;3921;203;1003;911;176;217;629;252;41;59;101;;9;19;43;46;16;12;59;24;35;3;63;;;;;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;993;841;0;;841;33;106;432;157;3;26;6;18;7;1;3;7;2;6;5;1;2;2;;;7;;9;5;;;;;;;;3;;
Middelie;G0421;10452;Noord-Holland;P27;184;178;0;;178;;67;;66;2;29;1;1;;4;2;;1;;2;;;2;;;;;1;;;;;;;;;;;
Middelstum;G0027;11199;Groningen;P20;601;579;0;;579;1;152;274;7;5;16;3;6;9;5;3;;;87;2;2;;;1;4;;;1;;;;;;;;;;;1
Midwolda;G0028;10356;Groningen;P20;1050;960;0;;960;3;241;260;21;187;194;8;4;8;4;1;1;4;3;3;;2;;2;1;2;;1;;;;;;;;;;;10
Midwoud;G0422;10924;Noord-Holland;P27;326;310;0;;310;10;67;;200;1;10;1;;1;2;;;;;13;;1;1;1;2;;;;;;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;899;853;0;;853;821;1;1;4;;;4;2;2;11;;;1;;;1;2;;;3;;;;;;;;;;;;;;
Mijdrecht;G0336;11379;Utrecht;P26;909;700;0;;700;316;13;266;;67;22;;;7;;6;;;;1;;;;;;;;2;;;;;;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;380;364;0;;364;1;24;192;2;36;14;4;36;2;1;2;3;4;4;;;3;;;;13;2;16;3;;;;;;;;2;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;753;725;0;;725;709;4;;;;;1;;;2;;1;;;1;;2;;;5;;;;;;;;;;;;;;
Millingen;G1259;10072;Gelderland;P25;793;613;0;;613;521;28;;2;1;4;10;6;;;29;2;;4;;;;1;4;1;;;;;;;;;;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;400;393;0;;393;388;;;;;1;;;1;;;;;;;;;;1;2;;;;;;;;;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;143;131;0;;131;1;6;72;29;11;1;;1;1;;;2;;;;;;;;4;3;;;;;;;;;;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;136;128;0;;128;;4;71;23;6;;2;8;;3;;;2;1;;;;;;;2;;6;;;;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;650;580;0;;580;148;36;57;136;90;21;25;3;8;4;3;1;2;;9;4;7;;;2;2;;21;;;;;;;1;;;;
Monster;G0562;10019;Zuid-Holland;P28;1573;1469;0;;1469;705;111;436;119;33;7;4;1;8;3;17;8;1;;1;2;1;1;;;;1;10;;;;;;;;;;;
Montfoort;G0335;10033;Utrecht;P26;457;371;0;;371;306;2;56;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montfort;G0943;10266;Limburg;P31;245;241;0;;241;230;;;6;;;2;;;;;;;;;;;;3;;;;;;;;;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;334;310;0;;310;297;1;1;;;;6;1;;1;;;;;;;;1;2;;;;;;;;;;;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;546;496;0;;496;62;118;138;73;18;22;4;2;3;5;1;11;;;5;1;1;6;;9;10;;6;1;;;;;;;;;;
Muiden;G0424;10958;Noord-Holland;P27;647;589;0;;589;143;57;79;37;129;9;25;15;13;16;25;4;1;1;2;8;2;11;4;6;;;;;;;;;1;1;;;;
Munstergeleen;G0945;10273;Limburg;P31;191;186;0;;186;181;2;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
Muntendam;G0029;10550;Groningen;P20;796;706;0;;706;15;399;55;17;43;94;18;6;2;8;8;;1;3;2;2;;3;3;6;15;;1;;;;;;;;;;;5
Naaldwijk;G0565;11418;Zuid-Holland;P28;1779;1694;0;;1694;590;113;352;366;150;38;6;8;5;3;17;21;;1;1;2;2;2;;;2;9;4;2;;;;;;;;;;
Naarden;G0425;10187;Noord-Holland;P27;1170;971;0;;971;230;66;123;32;105;106;102;37;35;9;9;11;5;2;4;2;4;73;11;1;;;;;;;;;1;3;;;;
Nederhemert;G1115;10310;Gelderland;P25;249;227;0;;227;1;7;82;1;30;3;1;47;;3;;2;;;8;1;2;1;1;2;;35;;;;;;;;;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;394;346;0;;346;118;10;74;10;91;2;2;6;11;5;1;5;2;;1;;1;2;1;2;;;;;;;;;;2;;;;
Nederweert;G0946;10681;Limburg;P31;1457;1388;0;;1388;1372;;;2;;2;2;;;;;;;;;;;;9;1;;;;;;;;;;;;;;
Neede;G0266;10367;Gelderland;P25;1190;1125;0;;1125;176;421;140;280;30;18;1;12;5;11;2;2;;;1;7;;;;3;12;1;;;;;;3;;;;;;
Neer;G0947;10682;Limburg;P31;453;441;0;;441;432;1;;1;;1;3;;;;;;;;1;;;;2;;;;;;;;;;;;;;;
Neeritter;G1116;11001;Limburg;P31;140;134;0;;134;129;2;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;317;303;0;;303;174;15;3;92;1;5;1;;;1;1;;;;6;;;;;4;;;;;;;;;;;;;;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;265;249;0;;249;2;22;87;29;18;42;16;2;1;;;4;;3;1;1;2;;5;4;;10;;;;;;;;;;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;415;383;0;;383;17;107;101;3;10;11;4;32;9;6;4;2;1;3;;;1;2;;;10;51;8;1;;;;;;;;;;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;505;450;0;;450;81;84;2;33;3;191;4;15;4;4;1;1;3;;14;;;5;1;1;2;;;;;;;;;1;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;1207;1025;0;;1025;90;285;207;21;157;188;27;6;6;3;6;1;;12;1;1;1;;1;2;3;;3;;;;;;;;;;;4
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;459;406;0;;406;3;35;274;23;3;4;4;22;6;2;;;4;1;1;1;1;1;;;2;1;13;3;;;;;;;;2;;
Nieuwendam;G1120;10177;Noord-Holland;P27;587;519;0;;519;88;162;58;38;12;32;19;7;8;7;14;2;7;;3;1;2;;1;6;1;;51;;;;;;;;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;520;491;0;;491;372;65;1;1;4;22;9;3;1;;;;;;;;;1;8;4;;;;;;;;;;;;;;
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;487;455;0;;455;6;229;16;74;5;10;8;15;18;6;2;8;;1;;2;1;3;;;40;;9;2;;;;;;;;;;
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;1718;1592;0;;1592;647;33;328;166;250;15;31;9;27;23;15;9;7;;7;3;4;6;6;5;;;;;;;;;1;;;;;
Nieuwerkerk;G1122;10911;Zeeland;P29;458;438;0;;438;1;16;189;164;12;6;1;1;2;;;3;1;2;;3;1;;2;1;3;30;;;;;;;;;;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;706;627;0;;627;54;128;156;107;112;3;6;2;4;6;;7;;;2;2;1;3;2;13;9;;7;3;;;;;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;430;365;0;;365;1;233;18;11;18;43;12;9;1;3;1;;;6;1;;;1;2;3;;;1;;;;;;;;;;;1
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;665;559;0;;559;7;175;78;154;14;27;8;8;8;7;21;10;1;2;3;1;2;2;;;27;;4;;;;;;;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;713;676;0;;676;354;18;55;58;116;9;;1;12;2;1;4;1;;7;15;1;3;;9;4;;4;2;;;;;;;;;;
Nieuwkuyk;G1123;11278;Noord-Brabant;P30;368;337;0;;337;326;;;1;;;;;;9;;;;;;;1;;;;;;;;;;;;;;;;;
Nieuwland;G0570;11213;Zuid-Holland;P28;148;143;0;;143;;10;57;;6;1;;48;2;1;;;6;6;;1;;;;;1;2;2;;;;;;;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;847;757;0;;757;1;159;396;43;40;61;3;13;4;4;1;4;;;3;2;2;;;;1;1;18;1;;;;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;794;702;0;;702;4;35;203;213;40;6;4;12;3;2;1;140;1;1;1;4;16;1;5;1;3;2;4;;;;;;;;;;;
Nieuwolda;G0032;10126;Groningen;P20;507;448;0;;448;3;154;75;12;71;96;7;9;;2;2;2;;1;3;;;;1;2;3;;;;;;;;;;;;;5
Nieuwpoort;G0572;10748;Zuid-Holland;P28;166;150;0;;150;;14;69;27;3;24;2;1;;;;2;1;2;;1;;;;;;;4;;;;;;;;;;;
Nieuwstadt;G0949;11140;Limburg;P31;251;247;0;;247;224;5;1;1;;7;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;392;337;0;;337;126;42;70;45;15;3;2;1;2;1;1;5;;;2;11;;;1;5;3;;;2;;;;;;;;;;
Nieuwvliet;G0690;11165;Zeeland;P29;121;113;0;;113;;;3;101;2;3;1;;;;;;;;;;;;1;2;;;;;;;;;;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;348;325;0;;325;288;7;2;7;14;;1;;3;;;;;;1;;;;1;1;;;;;;;;;;;;;;
Nigtevecht;G0337;10160;Utrecht;P26;142;117;0;;117;7;;41;;49;4;;;4;;1;;;;;;;;;;;;11;;;;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;351;325;0;;325;;22;84;142;27;1;2;2;2;2;;36;;1;;;2;;;1;1;;;;;;;;;;;;;
Nijkerk;G0267;10446;Gelderland;P25;2074;1808;0;;1808;158;218;635;12;242;12;63;26;3;18;2;320;;9;2;36;5;5;3;28;3;1;;;;;;7;;;;;;
Nijmegen;G0268;11209;Gelderland;P25;13776;11887;0;;11887;6533;2588;240;84;305;206;559;197;105;49;223;21;;360;55;61;39;193;54;11;;4;;;;;;;;;;;;
Nisse;G0691;11086;Zeeland;P29;178;172;0;;172;43;;23;35;24;7;3;2;;;;2;;;;;;1;;8;;24;;;;;;;;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;597;577;0;;577;569;;;;;;;1;;4;;;;;;2;;;1;;;;;;;;;;;;;;;
Noorbeek;G0950;10283;Limburg;P31;199;187;0;;187;175;2;;;;4;;1;;;;;;;;;;;3;2;;;;;;;;;;;;;;
Noordbroek;G1126;10814;Groningen;P20;572;472;0;;472;3;248;30;36;6;101;6;1;3;13;1;1;1;3;2;;1;1;;5;6;;1;;;;;;;;;;;3
Noorddijk;G1127;10979;Groningen;P20;419;404;0;;404;4;140;40;51;10;46;24;7;5;3;2;;2;7;30;1;2;1;2;5;14;;8;;;;;;;;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;290;274;0;;274;;5;144;2;2;5;;88;3;3;;;6;1;;;;;;;6;;9;;;;;;;;;;;
Noordgouwe;G1128;11107;Zeeland;P29;225;217;0;;217;2;46;39;78;14;4;6;3;;4;;4;;2;6;;;;2;1;5;1;;;;;;;;;;;;
Noord-Scharwoude;G1124;10075;Noord-Holland;P27;446;410;0;;410;125;38;37;6;1;117;19;46;1;1;4;;;;5;;1;4;;2;;;2;;;;;;;1;;;;
Noordwelle;G1129;10055;Zeeland;P29;122;116;0;;116;;7;6;78;5;1;1;;;;;1;;;4;;;;2;1;10;;;;;;;;;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;1639;1466;0;;1466;646;55;274;10;205;53;42;13;31;4;;8;7;;26;48;1;5;1;23;7;;4;3;;;;;;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;755;691;0;;691;533;13;51;14;28;2;5;1;3;;;1;2;;2;22;2;;;11;;;;1;;;;;;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;205;196;0;;196;107;9;34;6;12;3;5;4;;;;1;;;1;10;;2;;1;1;;;;;;;;;;;;;
Norg;G0120;10608;Drenthe;P22;675;610;0;;610;15;208;81;152;18;41;27;5;1;1;;10;;1;;7;1;2;3;24;13;;;;;;;;;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;677;662;0;;662;631;8;;5;1;1;3;4;;1;;;;;5;;;;2;1;;;;;;;;;;;;;;
