RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Moordrecht;G0563;10120;Zuid-Holland;P28;1378;1306;19;49;1238;150;253;305;43;125;48;23;190;;71;;3;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muiden;G0424;10958;Noord-Holland;P27;1479;1436;7;47;1382;332;284;246;363;35;25;17;7;3;7;2;9;12;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Munstergeleen;G0945;10273;Limburg;P31;530;526;3;2;521;478;2;1;3;;;;4;;1;;;;1;;4;;2;;;11;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;
Muntendam;G0029;10550;Groningen;P20;1771;1657;36;52;1569;17;843;196;119;52;107;57;1;11;71;4;21;4;;19;1;4;23;1;2;;4;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;5585;5358;28;62;5268;1594;614;1179;723;559;78;8;109;5;64;3;31;40;15;3;82;15;134;2;2;;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Naarden;G0425;10187;Noord-Holland;P27;3332;3116;49;89;2978;592;518;506;278;335;243;36;58;17;9;41;30;14;224;20;2;;8;16;8;;6;;;;1;6;2;1;;;;;;1;;;4;;;2;;;;;;;;;;;;;
Nederhemert;G1115;10310;Gelderland;P25;556;486;11;13;462;;20;91;79;17;8;1;219;;3;1;4;8;5;2;;1;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;1015;961;3;24;934;327;88;197;241;6;2;43;6;9;5;;4;;;1;;;;;;;;;;;;3;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
Nederweert;G0946;10681;Limburg;P31;3176;3036;30;43;2963;2842;21;5;7;2;7;2;6;;5;6;1;1;3;1;20;1;8;;5;8;;;;;;;;;9;;;;;;;;;;3;;;;;;;;;;;;;;
Neede;G0266;10367;Gelderland;P25;3133;3071;31;48;2992;467;1194;258;258;315;293;29;8;3;91;7;7;;4;11;4;3;9;1;2;;;8;5;;5;;5;;;;;;2;;;;;;;;1;;;2;;;;;;;;;
Neer;G0947;10682;Limburg;P31;952;919;1;2;916;900;3;2;1;1;;1;1;;1;2;;;1;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Neeritter;G1116;11001;Limburg;P31;313;306;0;4;302;282;2;1;3;;2;;1;;;2;;;;1;2;;3;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;;;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;719;688;0;5;683;381;60;5;9;141;65;1;;1;14;;2;1;;;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;627;581;10;22;549;2;54;105;193;58;25;1;68;1;3;;;14;8;5;;1;2;3;;;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;925;819;17;25;777;18;184;145;47;62;12;4;261;4;17;;;4;3;;1;1;4;1;;;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;1028;935;2;19;914;171;315;25;7;40;207;35;2;7;43;4;13;;;34;2;;3;1;;;1;;1;;;;;;;;;;;1;;;;;;1;;1;;;;;;;;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;2750;2429;47;58;2324;186;556;536;366;114;81;147;40;9;121;6;95;12;6;13;2;3;18;1;1;;8;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;1108;964;24;37;903;13;162;328;17;41;15;5;241;4;18;3;29;7;2;;2;6;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;1689;1627;65;63;1499;767;222;2;6;2;1;69;5;4;78;256;3;;3;4;43;2;6;;5;10;1;;1;;;;;;6;;;;;;;;;;3;;;;;;;;;;;;;;
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;960;878;20;12;846;6;394;54;13;195;41;32;5;1;68;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;6634;6287;87;163;6037;1673;554;1338;1123;265;380;111;49;72;29;20;118;24;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwerkerk;G1122;10911;Zeeland;P29;978;866;31;16;819;5;93;246;107;153;14;3;155;3;14;;2;;3;3;3;2;3;2;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;1758;1598;31;51;1516;111;309;254;183;138;23;5;263;;81;1;3;90;3;20;1;5;2;3;;;;;5;;11;;;;;;;;5;;;;;;;;;;;;;;;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;1036;954;16;51;887;1;254;112;54;35;156;205;2;;5;3;7;;2;17;;2;25;;1;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1376;1282;19;45;1218;12;405;161;124;265;86;13;25;1;76;2;4;7;8;5;1;14;1;1;;;;1;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;1593;1522;28;19;1475;757;88;131;258;102;30;1;41;;26;25;;2;;5;1;1;;1;1;;;1;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Nieuwkuyk;G1123;11278;Noord-Brabant;P30;763;724;3;4;717;686;1;;;2;;;1;;;8;;;2;;;4;1;;2;;;;;4;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwland;G0570;11213;Zuid-Holland;P28;335;302;0;7;295;;49;108;16;77;3;2;24;1;3;1;;;;2;;;5;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;1881;1701;13;51;1637;5;256;479;89;48;95;9;553;2;13;1;2;22;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;1888;1797;19;62;1716;5;253;437;491;97;111;2;173;2;76;3;9;10;7;6;1;;5;2;3;;11;;1;;6;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwolda;G0032;10126;Groningen;P20;1082;996;11;16;969;3;321;205;187;83;75;35;;6;19;;1;4;4;2;1;1;8;;1;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;407;366;5;5;356;;39;142;8;16;18;4;73;1;15;;1;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwstadt;G0949;11140;Limburg;P31;569;554;11;22;521;458;25;;4;1;1;;;;;4;;;;;9;;;;;15;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;949;803;24;10;769;290;77;204;82;37;24;2;20;4;15;;5;2;1;1;;;;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuwvliet;G0690;11165;Zeeland;P29;296;264;3;6;255;1;48;40;26;96;18;2;1;;16;;;;;3;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;769;714;19;13;682;582;33;1;15;8;1;1;26;;1;3;;1;1;;;1;1;;1;;;2;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Nigtevecht;G0337;10160;Utrecht;P26;350;337;1;3;333;21;40;92;137;5;12;3;8;2;4;;3;1;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;758;719;17;0;702;3;44;186;210;74;64;1;6;;83;;21;;1;;;;7;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
Nijkerk;G0267;10446;Gelderland;P25;4888;4618;52;92;4474;340;554;1380;1569;79;36;3;327;;39;2;59;12;18;7;;9;6;2;3;;;3;2;;17;;2;;;;;;1;;;;;;;;1;;;3;;;;;;;;;
Nijmegen;G0268;11209;Gelderland;P25;43000;40730;374;1178;39178;21988;6646;1215;2017;1710;740;493;58;165;87;2620;50;97;481;66;176;254;88;67;;;47;;;;8;;48;;;;;;;;57;;;;;;;;;;;;;;;;;;
Nisse;G0691;11086;Zeeland;P29;330;310;6;3;301;59;2;41;103;26;5;;47;;;;3;;1;;;;12;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;1320;1259;11;2;1246;1188;10;2;6;4;1;1;3;;2;1;;;1;;1;;3;;2;;1;;;9;;;6;;;;;;;;;5;;;;;;;;;;;;;;;;;
Noorbeek;G0950;10283;Limburg;P31;417;390;3;1;386;226;5;;2;;1;;;;5;25;;;1;;6;;1;;;112;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Noordbroek;G1126;10814;Groningen;P20;1172;1081;12;49;1020;;338;118;11;89;135;89;3;35;87;6;2;7;8;2;;7;59;;3;;6;;12;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
Noorddijk;G1127;10979;Groningen;P20;1121;1046;11;51;984;9;351;177;34;78;82;22;;5;115;5;36;;4;9;;5;22;3;2;;3;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;633;588;1;5;582;;40;292;15;108;10;5;49;3;41;;;12;1;;;1;;1;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noordgouwe;G1128;11107;Zeeland;P29;503;453;9;17;427;1;97;79;86;90;15;;28;1;9;;2;1;1;5;;2;2;2;;;2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noord-Scharwoude;G1124;10075;Noord-Holland;P27;1079;1030;5;5;1020;326;215;124;10;25;247;20;1;3;14;13;5;;2;4;1;4;3;1;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Noordwelle;G1129;10055;Zeeland;P29;241;225;4;5;216;2;65;23;33;50;15;;16;1;2;;1;1;;3;1;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;5230;4566;57;89;4420;2041;263;661;585;155;52;33;49;9;14;14;206;260;17;14;7;11;3;4;2;;4;6;2;;1;;;;;;;;4;;;;3;;;;;;;;;;;;;;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;3100;2390;9;15;2366;1974;56;57;198;16;1;4;8;;4;11;8;9;5;;;2;2;4;;;1;1;;;1;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;
Nootdorp;G0577;10601;Zuid-Holland;P28;644;634;8;6;620;353;49;49;111;25;1;1;10;;8;;;6;;;2;1;;1;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Norg;G0120;10608;Drenthe;P22;1808;1718;13;19;1686;29;410;234;163;165;170;16;2;2;384;;19;1;12;31;;4;15;1;;;4;6;11;;5;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;1805;1750;8;19;1723;1551;53;9;62;1;2;4;5;2;1;5;;;3;;11;;;;1;;;;;2;;;5;;;;;;;;;6;;;;;;;;;;;;;;;;;
Nuland;G0821;10118;Noord-Brabant;P30;672;621;2;4;615;590;2;;;1;3;;1;;1;1;;;;;2;3;2;;3;;;;;3;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;2249;2030;31;57;1942;10;328;552;303;319;29;13;266;4;59;1;4;7;3;4;3;18;5;1;;;;1;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nunhem;G1130;10736;Limburg;P31;161;155;1;0;154;147;2;;;;;1;;;;;;;;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nuth;G0951;10104;Limburg;P31;1612;1535;22;50;1463;1138;135;6;18;1;3;10;6;1;6;18;11;;;3;39;;4;3;2;41;2;;;;;;;;15;;;;;;;;;;1;;;;;;;;;;;;;;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;552;530;13;26;491;316;26;3;7;;;4;5;2;11;24;1;;1;;17;1;2;;1;36;;;1;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;
Obdam;G0429;11338;Noord-Holland;P27;774;762;2;3;757;640;23;;2;17;47;3;;;6;;3;;;15;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Odijk;G1131;11003;Utrecht;P26;236;221;5;1;215;133;5;10;32;;2;;25;;3;;1;;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Odoorn;G0122;11320;Drenthe;P22;5475;5177;80;414;4683;235;1441;656;701;502;267;56;12;17;324;8;102;7;11;190;;15;60;8;;;15;20;16;;7;;;;;;;;;;;;;;;;;;;;;;;13;;;;;
Oeffelt;G0822;10360;Noord-Brabant;P30;654;628;8;6;614;570;8;11;2;;;3;;;;14;;;1;;1;;;;1;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;3680;3485;26;67;3392;771;287;700;636;371;249;23;53;5;11;27;27;94;93;6;6;17;4;2;4;;;;2;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;
Ohé en Laak;G0953;10420;Limburg;P31;298;273;3;3;267;233;1;;3;;;;;;;4;;1;;;1;;;;1;20;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Oijen en Teeffelen;G1150;10869;Noord-Brabant;P30;478;445;10;8;427;398;4;;9;4;;2;;;;2;;;;;3;2;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Oirsbeek;G0954;10504;Limburg;P31;780;762;8;8;746;638;19;1;4;3;;1;3;;16;19;1;;;;7;;;;3;19;2;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;
Oirschot;G0823;10225;Noord-Brabant;P30;2365;2293;8;6;2279;2165;33;3;22;4;3;1;3;;2;11;;;;;7;6;;;3;;1;;;3;1;;7;;;;;;1;;;3;;;;;;;;;;;;;;;;;
Oisterwijk;G0824;10103;Noord-Brabant;P30;3088;3053;27;88;2938;2176;261;75;17;32;21;8;37;;2;172;4;2;2;4;23;47;8;;8;;3;3;3;11;3;;;;;16;;;;;;;;;;;;;;;;;;;;;;;
Oldebroek;G0269;11106;Gelderland;P25;4252;4051;63;113;3875;125;475;1663;726;55;27;16;380;7;85;9;8;223;22;3;;5;11;13;8;;;5;1;;;;2;;;;;;2;;;;;;;;1;;;3;;;;;;;;;
Oldehove;G0035;10298;Groningen;P20;1232;1175;4;5;1166;;227;582;82;90;129;7;;3;8;1;6;1;8;2;;;9;;1;;8;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oldekerk;G0036;11332;Groningen;P20;892;855;10;4;841;1;101;508;36;79;59;;;1;23;;11;5;5;1;;1;4;;1;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oldemarkt;G0172;10858;Overijssel;P23;1497;1415;9;19;1387;175;187;138;692;78;52;4;3;2;2;2;23;4;;3;1;;7;1;1;;;;2;;4;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Oldenzaal;G0173;11100;Overijssel;P23;4825;4668;43;89;4536;2552;562;101;199;188;60;14;19;5;2;731;26;1;3;5;15;;12;5;8;;4;;7;;2;;;15;;;;;;;;;;;;;;;;;;;;;;;;;
Olst;G0174;10409;Overijssel;P23;3102;2938;26;31;2881;690;862;183;166;158;530;9;23;13;160;11;28;1;1;8;2;;5;7;2;;3;;5;;6;;;8;;;;;;;;;;;;;;;;;;;;;;;;;
Ommen;G0175;11069;Overijssel;P23;3992;3812;36;53;3723;299;353;1184;767;98;136;7;28;5;66;5;34;670;4;7;13;;9;14;4;;7;;2;;1;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
Onstwedde;G1250;10610;Groningen;P20;8267;7718;116;254;7348;756;1620;1744;1130;167;544;130;33;154;102;11;95;242;12;74;12;17;100;7;366;;26;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1587;1483;29;33;1421;256;219;411;42;115;26;12;262;;15;1;8;32;3;;;2;6;3;;;;1;3;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oost- en West-Souburg;G1135;11396;Zeeland;P29;2601;2434;30;80;2324;48;599;624;651;123;89;13;82;9;7;6;8;5;7;15;10;3;10;10;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;628;617;0;0;617;606;;1;1;;3;;;;;2;;;;;;;;;1;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostburg;G0692;10782;Zeeland;P29;1575;1478;20;23;1435;407;266;188;60;336;101;7;17;;15;1;5;1;5;10;4;2;2;1;;;1;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostdongeradeel;G0084;11102;Fryslân;P21;4195;3998;24;26;3948;12;223;2229;1035;193;110;5;18;3;12;1;51;24;2;2;1;2;6;1;3;;12;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Oosterhesselen;G0123;10490;Drenthe;P22;1320;1268;33;26;1209;3;329;380;81;241;73;;7;;76;;4;;;1;;1;4;;;;;;7;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oosterhout;G0826;11280;Noord-Brabant;P30;7083;6736;86;119;6531;5978;166;24;68;13;4;9;96;2;3;52;6;3;1;2;30;7;7;1;3;;3;12;;7;1;;;;;33;;;;;;;;;;;;;;;;;;;;;;;
Oosterland;G1136;11237;Zeeland;P29;1011;899;28;11;860;11;199;122;139;147;22;1;193;;5;;;;11;2;2;;;1;;;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oosthuizen;G0430;11121;Noord-Holland;P27;592;554;2;6;546;19;173;21;17;105;80;14;;1;100;;5;1;2;5;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostkapelle;G1137;10720;Zeeland;P29;769;718;11;5;702;3;17;232;209;41;32;2;131;;6;1;1;8;12;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ooststellingwerf;G0085;10836;Fryslân;P21;7248;6864;83;260;6521;20;1727;1220;782;130;1112;572;6;33;335;8;402;7;3;69;7;8;43;3;7;;13;;11;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;
Oostvoorne;G0581;10009;Zuid-Holland;P28;1910;1795;17;60;1718;37;510;179;79;286;134;56;3;4;251;2;3;1;2;90;2;55;3;8;2;;;5;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oostzaan;G0431;11303;Noord-Holland;P27;2156;2025;32;63;1930;8;701;322;61;204;160;212;31;43;114;10;8;9;4;7;;6;7;7;;;3;;;;;;;;;;;;;5;;;;;;5;;3;;;;;;;;;;;
Ootmarsum;G0176;11079;Overijssel;P23;783;732;10;9;713;563;8;13;16;9;9;5;7;;1;44;32;;2;;1;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Ophemert;G0270;10829;Gelderland;P25;687;623;13;34;576;12;136;64;110;101;8;;55;1;56;;13;2;2;3;;6;3;;;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;1156;1136;1;5;1130;1099;;3;10;;2;;;;2;7;;;;1;2;;;;;;;;;1;1;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
Opmeer;G0432;10609;Noord-Holland;P27;267;261;2;1;258;151;45;;5;12;34;;;;8;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Opperdoes;G0433;10523;Noord-Holland;P27;580;555;3;0;552;;75;244;114;37;21;3;39;1;6;1;3;2;;;;;1;;;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
Opsterland;G0086;10005;Fryslân;P21;10162;9410;131;223;9056;14;2606;1807;584;484;1259;951;6;26;219;6;788;4;9;158;5;4;82;1;5;;15;;19;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;
Oss;G0828;10834;Noord-Brabant;P30;6411;6182;91;137;5954;4390;615;45;61;80;92;17;5;8;6;272;;4;3;3;110;10;38;3;44;;8;10;;45;10;;56;;;;;;4;;;15;;;;;;;;;;;;;;;;;
Ossendrecht;G0829;10929;Noord-Brabant;P30;1368;1284;52;54;1178;564;130;8;11;13;5;6;25;;2;337;4;;2;1;2;1;5;1;41;;2;;;;1;;;;;17;;;;;;;;;;;;;;;;;;;;;;;
Ossenisse;G1138;10841;Zeeland;P29;397;370;5;14;351;295;5;4;4;2;3;2;3;1;1;3;;;;;;;1;;;;26;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oterleek;G0434;10133;Noord-Holland;P27;442;418;3;7;408;49;97;18;2;52;108;6;1;8;50;;6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ottersum;G0955;10862;Limburg;P31;1040;997;5;2;990;703;11;3;6;1;2;;1;;3;224;1;1;4;2;7;3;10;;4;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Ottoland;G0582;10097;Zuid-Holland;P28;343;311;2;2;307;1;14;199;30;7;;;40;1;3;;;4;1;;;1;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;2982;2887;47;70;2770;2332;178;5;29;4;2;5;50;;3;57;4;7;5;1;42;;10;1;2;;1;9;;5;1;;;;;17;;;;;;;;;;;;;;;;;;;;;;;
Oud-Alblas;G0583;10826;Zuid-Holland;P28;617;547;7;3;537;1;41;192;78;16;5;;122;1;37;1;;15;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;3181;2956;21;43;2892;127;436;1146;184;266;61;8;568;8;36;4;;5;6;5;6;5;5;1;1;;;3;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouddorp;G1142;11126;Zuid-Holland;P28;1882;1517;29;39;1449;1;44;641;25;118;10;2;501;3;26;4;1;47;6;1;;4;3;2;1;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oude Niedorp;G0436;10896;Noord-Holland;P27;664;633;12;0;621;388;99;9;1;7;76;22;2;;6;1;2;;;3;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;
Oude Pekela;G0038;10848;Groningen;P20;3515;3137;64;65;3008;199;1234;385;177;188;228;391;24;4;41;3;35;2;5;19;2;14;20;;19;;12;;5;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Oude Tonge;G1143;10714;Zuid-Holland;P28;1648;1465;7;34;1424;355;315;196;15;136;9;1;349;1;12;;9;1;5;2;1;5;1;3;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudelande;G0695;11139;Zeeland;P29;427;414;12;4;398;38;50;87;78;46;26;1;25;4;12;5;6;;1;6;1;;8;1;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudenbosch;G0830;10397;Noord-Brabant;P30;2661;2566;24;15;2527;2214;113;4;52;2;8;1;41;;2;28;3;;1;;33;;5;;;;3;4;;1;5;;;;;7;;;;;;;;;;;;;;;;;;;;;;;
Oudendijk;G0435;11090;Noord-Holland;P27;292;274;0;6;268;5;104;5;4;28;63;3;2;1;36;1;1;;;11;;;;;;;;;;;;;;;;;;;;1;;;;;;3;;;;;;;;;;;;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;531;489;7;8;474;;188;68;44;38;8;2;4;;33;;52;1;;;1;27;1;;;;;1;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudenrijn;G1144;10114;Utrecht;P26;471;452;3;5;444;166;20;98;66;38;7;1;10;3;19;2;3;1;4;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouder-Amstel;G0437;10998;Noord-Holland;P27;2035;1963;20;29;1914;830;164;293;375;81;32;12;17;8;16;10;22;15;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;1839;1458;28;36;1394;4;128;413;27;94;23;3;549;;121;;;5;9;1;1;3;;1;1;;;;1;;5;;;;;;;;2;;;;4;;;;;;;;;;;;;;;;
Oudewater;G0589;10188;Zuid-Holland;P28;1617;1537;5;9;1523;738;139;230;180;63;18;3;73;1;6;;1;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudheusden;G1145;10812;Noord-Brabant;P30;577;539;5;6;528;493;4;2;15;;2;;5;;;4;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oudkarspel;G1146;11051;Noord-Holland;P27;1055;1007;2;5;1000;209;318;23;7;16;291;65;2;7;22;12;;;3;8;4;1;7;;;;1;;1;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;
Oudorp;G0438;10363;Noord-Holland;P27;875;838;2;15;821;412;101;45;21;44;69;9;;13;49;32;8;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
