RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;2045;0;;;;137;725;145;;;164;;87;;5;;4;6;12;;;;;;;;;;;;11;12;6;;;;;;;;;;;;;;;;;;;;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;738;674;;;674;69;20;259;256;;6;;;1;1;;1;4;2;;;9;2;;6;;5;;;30;1;;;;;;;2;;;;;;;;;;;;;;;;;;
Kuinre;G0167;11148;Overijssel;P23;390;355;7;;348;51;18;20;100;6;20;73;1;6;1;2;;2;1;39;;;;1;1;;;4;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Kwadijk;G0414;10775;Noord-Holland;P27;290;262;7;;255;7;93;5;6;32;18;;3;;4;;;;;;;;;;;2;;79;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;
Laag-Nieuwkoop;G1100;10305;Utrecht;P26;190;0;;;;87;1;19;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;1298;1108;26;;1082;29;384;259;103;41;182;;20;;4;;1;1;;;;2;1;;2;19;;5;16;;1;;5;2;1;;;4;;;;;;;;;;;;;;;;;;
Langbroek;G0325;11413;Utrecht;P26;648;0;;;;130;25;247;;;6;;1;;;;;46;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langerak;G0543;11127;Zuid-Holland;P28;488;435;;;435;;31;226;68;8;39;1;;9;1;1;17;20;1;;;1;;;1;;;2;;3;1;;;;;1;;2;;;;;;;;;;;;;;2;;;;
Laren;G0417;10649;Noord-Holland;P27;;0;;;;117;91;59;256;9;4;;;6;;;1;10;;;;1;2;;;1;;;3;;2;1;;;3;;;;;;;;1;;;;;;;;;;;;;
Laren (Gld.);G0259;10098;Gelderland;P25;2538;2365;34;;2331;22;74;492;148;1167;129;48;17;18;31;16;;1;6;8;;12;5;4;2;2;4;20;5;7;8;3;6;1;1;;73;;;;;;;;;1;;;;;;;;;;
Leende;G0805;11017;Noord-Brabant;P30;740;702;;;702;687;2;;;;;;;1;1;;;;;;;;1;5;1;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;398;358;2;2;354;;3;308;5;11;1;;;;2;;;15;;;;;;1;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;5;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;3628;3279;;;3279;186;803;1587;210;138;51;16;16;10;7;13;7;115;15;12;;12;13;2;4;3;9;3;;16;7;1;;;1;6;;5;;;5;;;;;;;;;;;6;;;;
Leersum;G0326;11142;Utrecht;P26;892;0;;;;11;164;289;;;22;;1;;;;4;13;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leeuwarden;G0080;11228;Fryslân;P21;23007;20950;708;;20242;2337;7331;2696;50;123;810;3318;181;1183;68;260;98;17;123;640;;131;194;16;15;33;52;62;157;17;56;128;;103;;;;;;38;5;;;;;;;;;;;;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;6761;6252;158;;6094;314;2470;1171;9;28;190;916;34;288;168;27;7;1;15;83;;25;21;2;5;8;6;125;6;33;17;16;;41;;;;;;66;2;;;;;;;;;;;;;;;
Leiden;G0546;10702;Zuid-Holland;P28;32602;30058;1424;;28634;5811;6657;4149;5433;1644;1185;241;721;100;52;252;260;132;126;94;;250;171;102;45;;58;37;;17;770;108;34;;58;;;56;;;;;;;;;;;;;;;;;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;902;826;;;826;92;25;485;166;4;1;3;2;2;4;;3;2;3;;;1;3;3;10;;2;1;;9;2;;;;3;;;;;;;;;;;;;;;;;;;;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;1982;1724;;;1724;;423;360;10;567;52;37;9;;9;11;9;84;8;;;10;71;1;2;;3;16;;10;;;32;;;;;;;;;;;;;;;;;;;;;;;
Lemsterland;G0082;10142;Fryslân;P21;3511;3127;86;;3041;222;674;753;11;7;263;40;26;768;16;3;9;61;100;26;;4;5;4;2;5;4;7;11;3;4;;;10;;;;;;3;;;;;;;;;;;;;;;;
Leusden;G0327;10978;Utrecht;P26;938;0;;;;357;26;169;;;8;;2;;;;1;16;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lexmond;G0551;10930;Zuid-Holland;P28;842;790;;;790;1;82;299;240;15;27;3;2;15;9;1;24;23;;;;9;;;1;1;2;1;;5;23;;;;;3;;1;;;1;;;;;;;;;;;2;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;2796;2669;16;;2653;2255;38;51;213;37;8;2;1;;1;;;1;;20;;;2;12;;1;;;;;2;;1;1;5;1;1;;;;;;;;;;;;;;;;;;;
Lienden;G0261;11093;Gelderland;P25;2178;1979;64;;1915;6;182;235;30;1193;51;48;9;16;9;10;25;33;4;;;6;3;2;3;11;5;3;;3;4;;10;1;;;6;;;;4;;2;;;;;;;;1;;;;;
Lierop;G1102;11279;Noord-Brabant;P30;494;497;;;497;497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;805;777;;;777;767;;;;;;;;;1;;;1;;;1;4;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limbricht;G0931;11124;Limburg;P31;790;753;;;753;722;9;;;;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;
Limmen;G0418;11370;Noord-Holland;P27;852;814;2;;812;621;65;3;1;51;22;2;15;1;3;1;2;;2;;;4;;4;;;;2;1;;;;;;1;6;;;;;1;;;;;;;;;;;;;;1;
Linden;G1103;11305;Noord-Brabant;P30;262;250;;;250;240;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linne;G0932;10990;Limburg;P31;627;592;5;10;577;525;9;2;4;;6;8;2;1;;;;;3;;1;1;;11;1;1;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;
Linschoten;G0328;11324;Utrecht;P26;799;0;;;;220;13;143;;;7;;1;;;;;39;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lisse;G0553;10197;Zuid-Holland;P28;2895;2738;;;2738;1531;61;385;458;1;11;17;;4;;3;6;79;1;5;;55;2;4;22;;1;;;69;7;;1;;1;;;14;;;;;;;;;;;;;;;;;;
Lith;G0808;11219;Noord-Brabant;P30;715;617;;;617;551;2;3;3;5;2;13;2;1;;2;1;1;1;;1;;;24;1;1;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Lithoijen;G1104;10024;Noord-Brabant;P30;298;277;;;277;253;;;;1;;12;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lochem;G0262;11263;Gelderland;P25;2924;2732;72;;2660;94;839;280;106;515;438;50;119;12;31;25;2;2;3;15;;14;13;6;5;9;8;6;3;11;12;1;20;1;;1;12;;;;;;;;;7;;;;;;;;;;
Loenen;G0329;11202;Utrecht;P26;759;0;;;;123;31;94;;;33;;;;;;4;16;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loenersloot;G1105;10208;Utrecht;P26;241;0;;;;79;7;56;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lonneker;G1106;11045;Overijssel;P23;9923;8982;;;8982;1815;3325;684;853;58;84;185;330;25;987;19;4;3;37;23;;17;17;5;193;45;;10;;134;10;13;6;7;11;22;23;;;;31;;6;;;;;;;;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;4363;4037;78;;3959;3406;28;61;154;1;6;7;7;14;4;;2;;24;;197;6;5;20;2;;;;;;;;12;;1;;;;;;2;;;;;;;;;;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;1504;0;;;;93;99;424;;;17;;6;;;;70;27;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loosduinen;G1107;10997;Zuid-Holland;P28;3295;3189;11;26;3152;1147;376;635;403;143;21;12;5;15;81;17;215;1;5;11;;14;4;5;4;1;3;4;;12;2;2;;2;3;3;;5;;;1;;;;;;;;;;;;;;;
Lopik;G0331;10333;Utrecht;P26;823;765;10;2;;296;5;184;142;46;12;;2;5;4;1;4;31;1;2;;1;;1;;;2;1;3;6;;1;;;;;2;;;;;;;;;;;;;;;;;;;
Losser;G0168;11166;Overijssel;P23;5172;4837;60;;4777;3501;708;42;241;;25;117;78;;1;4;;;4;;;2;1;25;9;6;;;;1;;;;;;;5;;;;1;;6;;;;;;;;;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;402;368;;;368;358;2;;;;;;;;;;;;;;4;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;326;306;;;306;284;;1;;;4;;;;;;;1;;;;;;12;2;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Maarn;G0332;10392;Utrecht;P26;588;0;;;;11;139;154;;;6;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maarssen;G0333;10191;Utrecht;P26;1422;0;;;;377;240;178;;;54;;6;;;;5;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maarsseveen;G1108;10874;Utrecht;P26;709;0;;;;146;42;112;;;11;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;1473;0;;;;163;165;531;;;18;;;;;;8;29;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasbracht;G0933;10964;Limburg;P31;723;693;;;693;658;7;2;;1;;;4;;;;;;;;;;1;3;1;;;;;;2;;1;;;;;;13;;;;;;;;;;;;;;;;;
Maasbree;G0934;11352;Limburg;P31;4684;4359;;;4359;3804;120;39;15;7;24;12;12;4;;10;;;4;7;2;5;6;248;2;9;1;;;3;2;;1;;;;1;;20;;1;;;;;;;;;;;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;824;739;;;739;1;173;206;121;99;9;12;;10;59;8;8;13;1;2;;3;1;;1;1;;;;10;1;;;;;;;;;;;;;;;;;;;;;;;;;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;842;812;;;812;800;2;;1;;;;;;;;;1;;;;;;7;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;1453;1376;;;1376;223;37;506;498;33;5;17;3;14;4;7;4;11;1;;;3;;;;1;1;;;7;1;;;;;;;;;;1;;;;;;;;;;;;;;;
Maasniel;G1110;11261;Limburg;P31;1447;1333;;;1333;1201;64;5;2;4;8;1;6;2;;2;;;2;5;;8;1;9;;8;;;;1;;;;;;;1;;3;;;;;;;;;;;;;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;4505;4083;;;4083;313;490;1635;1133;212;67;50;8;28;2;27;3;56;16;2;;9;4;1;;2;2;;;4;7;2;;;1;3;;5;;;;;;;;;;;;;;;;;;
Maastricht;G0935;10182;Limburg;P31;25126;22912;;;22912;14649;5635;145;120;115;532;173;255;35;;64;;;45;25;25;68;60;402;14;82;33;;;17;42;;84;;10;;60;;203;;19;;;;;;;;;;;;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;2211;1900;10;14;1876;1528;27;107;63;11;11;64;4;3;6;3;1;;3;;17;5;;6;6;;;;;1;1;;9;;;;;;;;;;;;;;;;;;;;;;;
Margraten;G0936;11243;Limburg;P31;568;546;5;5;536;524;1;1;;;;;1;;;;;;;1;;;;5;;;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
Markelo;G0169;11382;Overijssel;P23;2453;2285;56;;2229;117;481;198;540;47;116;173;12;39;329;24;1;3;2;14;;6;10;1;3;10;;8;;22;3;4;2;1;1;26;21;;;;12;;3;;;;;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;746;614;4;1;609;5;;203;380;;9;1;;3;;;;;1;;;;1;;;1;1;;;;1;;;;;;2;;;;;;1;;;;;;;;;;;;;
Maurik;G0264;10300;Gelderland;P25;2156;1895;;;1895;141;313;59;95;832;180;40;11;20;18;16;4;39;4;51;1;3;1;1;2;4;;22;;1;4;;18;;;5;4;;;;2;;2;;;;;;;;2;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;1446;1302;14;;1288;595;61;85;103;161;107;6;2;;;1;4;17;17;4;;1;3;1;;2;;5;1;;1;;;;1;5;;1;;;;;1;;;;;;;;;;;;1;1
Meeden;G0026;10304;Groningen;P20;899;763;;;763;2;216;243;12;8;25;169;3;4;7;6;1;6;2;;;2;37;1;6;1;1;3;;2;1;1;;;2;;2;;;;;;;;;;;;;;;;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;849;707;;;707;1;57;306;35;105;27;4;;7;52;3;4;30;4;2;;5;1;;1;1;;1;;5;1;;;;;;;;;;1;;;;;;;;;;;54;;;;
Meerlo;G0937;11416;Limburg;P31;946;895;;;895;886;;;1;;2;;1;;;;;;;2;;;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;1984;1881;54;23;1804;1455;241;6;12;1;10;9;11;3;;;;;;8;4;;3;7;;10;2;;;1;1;;9;;1;;3;;5;;2;;;;;;;;;;;;;;;
Meeuwen;G1111;10216;Noord-Brabant;P30;413;350;;;350;23;3;174;47;2;1;72;3;3;7;1;4;1;;;;;;;1;;;;;3;3;;1;;;1;;;;;;;;;;;;;;;;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;881;804;;;804;785;;1;;;1;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;941;908;12;0;896;889;;;;;1;;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;1097;1019;;;1019;880;53;7;1;1;4;3;10;;;1;;;1;;;;;9;1;1;2;;;1;;;1;;;;3;;40;;;;;;;;;;;;;;;;;
Melissant;G1113;10918;Zuid-Holland;P28;870;722;;;722;23;8;223;189;17;4;4;1;8;13;5;;105;2;;;9;1;1;2;;;2;;97;3;1;;;;;;1;;;2;;;;;;;;;;;1;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;5854;5463;132;;5331;228;1568;1037;11;5;237;386;45;810;167;19;9;2;9;53;;27;15;2;5;15;9;175;35;38;17;;;84;;;;;;319;4;;;;;;;;;;;;;;;
Meppel;G0119;11204;Drenthe;P22;6029;5516;170;;5346;88;1249;921;1383;88;351;622;16;68;82;23;;16;49;196;;25;59;5;1;51;11;5;;15;10;;;;;;3;;;;1;;8;;;;;;;;;;;;;
Merkelbeek;G0940;10763;Limburg;P31;405;390;;;390;367;3;9;4;;;;2;;;;;;;1;;;;1;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;136;120;;;120;106;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;12;;;;;;;;;;;;;;;;;
Mheer;G0942;10538;Limburg;P31;432;368;;;368;337;5;;1;;2;;1;;;;;;;1;2;;1;8;;1;;;;;2;;;;;;;;5;;2;;;;;;;;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;2134;1739;;;1739;62;191;724;18;158;62;20;2;5;54;22;20;274;2;1;;29;39;3;8;2;3;1;;11;7;;;2;1;2;;7;;;6;;;;;;;;;;;3;;;;
Middelie;G0421;10452;Noord-Holland;P27;376;353;6;;347;;107;4;1;21;25;5;;;3;2;;;4;;;1;;;;1;;169;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Midwolda;G0028;10356;Groningen;P20;2164;1832;;;1832;2;328;498;519;4;192;95;25;30;47;7;21;2;6;;;13;7;1;3;8;2;6;;4;5;1;1;;2;;3;;;;;;;;;;;;;;;;;;;
Midwoud;G0422;10924;Noord-Holland;P27;654;620;5;3;612;12;90;1;1;352;127;6;;;4;4;;;;;;1;;;;;;9;;1;2;;;;1;;;;;;1;;;;;;;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;1951;1840;3;14;1823;1740;14;5;5;1;3;2;10;;;;1;2;1;;14;2;2;5;3;2;;3;;;1;;1;1;;;5;;;;;;;;;;;;;;;;;;;
Mijdrecht;G0336;11379;Utrecht;P26;1916;0;;;;674;90;422;;;10;;4;;;;;24;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;737;670;;;670;;15;379;133;41;3;5;;15;41;1;8;11;1;;;2;;;;;;;;11;;1;;;;1;;1;;;;;;;;;;;;;;1;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;1506;1401;;;1401;1343;3;;3;1;1;5;1;2;;1;;1;5;;4;;1;24;;;;2;;;;;1;1;;1;1;;;;;;;;;;;;;;;;;;;
Millingen;G1259;10072;Gelderland;P25;1650;2343;38;;2305;2092;121;2;1;2;;3;10;1;1;1;;;1;9;1;1;;33;7;6;;;;2;1;;8;;;;1;;;;;;;;;;;;;;1;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;322;301;1;3;297;2;1;115;94;39;2;2;;9;2;1;1;22;;;;2;2;;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;291;268;3;5;260;;7;164;44;11;6;1;2;5;;3;;11;;;;1;;;;;;;;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;1334;1237;17;;1220;290;137;132;375;149;51;;6;;19;;;2;15;1;;8;1;5;;7;1;5;1;6;;1;1;;;3;1;1;;;;;1;;;;;;;;;;;;1;
Monster;G0562;10019;Zuid-Holland;P28;3409;2959;;;2959;1488;124;744;343;127;4;;8;;;;135;;;8;;12;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Montfoort;G0335;10033;Utrecht;P26;;0;;;;660;;90;;;11;;3;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Montfort;G0943;10266;Limburg;P31;484;447;;;447;435;2;;;;;;;;;;;;2;;;;;2;1;1;;;;1;;;2;;;;;;1;;;;;;;;;;;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;764;705;6;;699;649;15;;4;;3;3;4;;;;;;5;;;1;;3;1;;2;;;4;;;4;;;;;;1;;;;;;;;;;;;;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;1156;1083;5;35;1043;142;205;294;35;130;39;8;5;4;54;6;2;55;3;10;;6;2;;4;;5;;;23;2;;3;;1;;;5;;;;;;;;;;;;;;;;;;
Munstergeleen;G0945;10273;Limburg;P31;428;411;;;411;399;5;1;1;;;;;;;;;;;;;;;1;2;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Muntendam;G0029;10550;Groningen;P20;1631;1431;;;1431;23;847;86;82;19;39;37;7;8;171;2;;2;28;;;3;41;;7;10;2;2;;9;;;;;1;;5;;;;;;;;;;;;;;;;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;3793;3579;;;3579;1259;225;743;478;135;23;559;1;10;35;26;9;17;7;8;;11;5;11;2;;7;2;;10;1;;;1;;2;;;;;3;;;;;;;;;;;1;;;;
Naarden;G0425;10187;Noord-Holland;P27;2579;2270;67;;2203;507;309;408;289;240;180;17;15;18;7;16;12;1;31;3;;18;24;6;2;27;7;6;7;4;10;;8;;13;9;;;;;2;;7;;;;;;;;;;;;;
Nederhemert;G1115;10310;Gelderland;P25;522;441;;;441;;5;48;73;67;7;2;;5;;;1;215;1;1;1;1;4;2;1;;;;;;2;;;;;;1;;;;2;;1;;;;;;;;1;;;;;
Nederweert;G0946;10681;Limburg;P31;2921;2714;;;2714;2579;15;8;5;2;4;3;8;4;;1;;;1;;2;2;;2;1;5;;;;1;1;;1;;;;1;;67;;1;;;;;;;;;;;;;;;
Neede;G0266;10367;Gelderland;P25;2380;2174;45;;2129;228;825;205;216;357;88;16;12;13;58;11;1;1;5;8;;8;5;1;1;14;3;11;2;3;2;3;17;1;2;1;11;;;;;;;;;;;;;;;;;;;
Neer;G0947;10682;Limburg;P31;890;847;;;847;832;4;;2;;1;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;6;;;;;;;;;;;;;;;;;
Neeritter;G1116;11001;Limburg;P31;285;271;;;271;249;;;2;;;;1;;;;;;;;1;;;;;;;;;;2;;;;;;;;16;;;;;;;;;;;;;;;;;
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;857;695;;;695;13;127;233;19;52;14;7;6;2;41;4;4;129;1;;;4;2;1;2;3;;2;;24;2;;;1;;1;;1;;;;;;;;;;;;;;;;;;
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;628;895;20;;875;142;188;6;1;25;438;2;4;;10;;;;;;;;1;1;1;3;;28;8;5;;;;;2;8;;1;;;1;;;;;;;;;;;;;;;
Nieuwe Pekela;G0030;10950;Groningen;P20;2539;2107;;;2107;164;522;461;359;10;125;50;22;12;218;2;3;16;14;74;;1;37;1;4;;1;3;;1;1;;;;2;;4;;;;;;;;;;;;;;;;;;;
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;943;1050;;;1050;3;319;468;9;55;1;9;4;2;19;9;1;104;1;1;;20;1;;2;;;;;9;1;2;;2;1;;;7;;;;;;;;;;;;;;;;;;
Nieuwenhagen;G0948;10088;Limburg;P31;1207;1040;;;1040;758;172;3;1;1;8;2;26;;;;;;9;;3;2;6;4;2;7;2;;;;7;;14;;;;4;;9;;;;;;;;;;;;;;;;;
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;918;813;24;;789;11;319;26;38;167;29;9;10;2;125;8;;3;7;;;9;6;;;1;;8;;5;2;;;;;1;;;;;2;;;;;;;;;;;1;;;;
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;;2850;;;2850;1093;116;54;;;62;;9;;;;;;;;;;;17;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nieuweschans;G0031;10008;Groningen;P20;942;856;11;36;809;7;332;55;44;6;105;33;112;5;22;13;1;;9;3;;2;11;2;4;15;2;6;;2;2;1;8;;1;;6;;;;;;;;;;;;;;;;;;;
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1341;1159;;;1159;20;282;201;118;293;45;30;3;10;85;26;2;2;15;3;;7;2;;1;2;2;;;4;2;;;;;1;;3;;;;;;;;;;;;;;;;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;1445;1139;;;1139;620;10;86;184;150;29;4;1;;6;2;2;19;3;;;4;;2;3;;4;;;9;;;;;;;;1;;;;;;;;;;;;;;;;;;
Nieuwkuyk;G1123;11278;Noord-Brabant;P30;726;687;;;687;675;3;;;;;1;;;;;1;;;;;;;5;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
Nieuwland;G0570;11213;Zuid-Holland;P28;302;268;0;2;266;;17;145;14;74;3;;;;4;;;3;;;;;1;;;;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;1782;1589;;;1589;2;177;974;179;40;84;2;4;11;1;3;5;65;3;;;17;1;2;;4;3;;;;3;1;;;;2;;2;;;4;;;;;;;;;;;;;;;
Nieuwleusen;G0170;10384;Overijssel;P23;1544;1415;57;;1358;6;117;417;457;8;29;175;21;20;35;8;1;2;2;;;4;3;2;;11;;4;;7;2;3;;1;1;15;4;;;;2;;1;;;;;;;;;;;;;
Nieuwolda;G0032;10126;Groningen;P20;1064;900;;;900;;323;162;146;5;95;103;6;12;20;3;3;;1;5;;2;1;1;;1;;2;;1;3;2;2;;;;1;;;;;;;;;;;;;;;;;;;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;363;308;;;308;3;20;171;22;23;24;;;1;2;2;13;8;3;;;1;;;;1;5;4;;3;;;;;;;;;;;1;;;;;;;;;;;1;;;;
Nieuwstadt;G0949;11140;Limburg;P31;492;468;9;8;451;390;21;;;1;;;;;;;;;;;;;;;;;;;;;2;;2;;;;1;;34;;;;;;;;;;;;;;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;857;614;;;614;246;59;195;;;4;1;1;3;;3;1;1;3;;;2;4;3;6;;1;;;77;1;;;;;;;3;;;;;;;;;;;;;;;;;;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;693;640;;;640;579;6;2;18;4;2;10;2;2;1;3;;;;;2;;;;1;;;;;;;;5;;2;;;;;;1;;;;;;;;;;;;;;;
Nigtevecht;G0337;10160;Utrecht;P26;332;286;5;4;;16;9;84;110;13;8;1;11;1;7;1;1;;1;1;;;1;3;1;;;;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Nijeveen;G0121;10774;Drenthe;P22;644;636;5;5;626;2;36;183;100;15;11;43;2;22;173;;;2;11;;;4;1;;;5;;2;;12;2;;;;;;;;;;;;;;;;;;;;;;;;;
Nijkerk;G0267;10446;Gelderland;P25;4276;3946;114;;3832;335;286;1481;1241;54;39;27;25;66;4;9;8;11;4;78;;23;13;2;10;22;27;6;7;21;7;3;10;3;;;9;;;;;;;;;1;;;;;;;;;;
Nijmegen;G0268;11209;Gelderland;P25;32193;28109;;;28109;16540;5653;351;1310;2217;661;97;143;54;10;176;13;3;82;143;25;75;74;208;14;43;40;11;;5;59;;37;8;;16;15;;;;7;;10;;;;;;;;9;;;;;
Nistelrode;G0819;10094;Noord-Brabant;P30;1140;1084;0;8;1076;1058;;;1;1;;;;;1;;;3;;;1;1;;6;;2;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Noorbeek;G0950;10283;Limburg;P31;377;347;7;;340;317;10;;2;;;;2;;;;;;;;2;;;6;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Noordeloos;G0574;10296;Zuid-Holland;P28;573;530;2;1;527;1;9;300;15;126;8;3;;;20;4;6;20;1;;;;1;;;;1;7;;2;;;;;;;;1;;;;;;;;;;;;;;2;;;;
