RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Arnhem;G0202;10795;Gelderland;P25;41132;35805;;;35805;9961;10654;2574;2498;4032;1888;181;337;626;1252;47;195;;255;328;96;626;63;28;73;;;74;17;;;;;;;;;;;;
Asperen;G0488;11369;Zuid-Holland;P28;906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assen;G0106;10522;Drenthe;P22;9026;8368;293;;8075;263;2807;1456;725;462;1722;21;82;35;22;214;28;14;16;98;42;11;;32;25;;;;;;;;;;;;;;;;
Assendelft;G0367;11373;Noord-Holland;P27;2403;2287;12;25;2250;856;681;54;28;18;367;21;32;120;5;18;15;10;2;5;3;1;2;3;;;;;;;;;;;;9;;;;;
Asten;G0743;10478;Noord-Brabant;P30;2386;2222;12;8;2202;2110;27;5;17;7;2;1;13;2;1;1;1;3;4;;;2;1;;;4;;;;1;;;;;;;;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;706;668;4;;664;235;150;4;6;63;178;;7;2;;16;;;;1;1;;;;;;;;;;;;;;;1;;;;;
Avereest;G0143;11190;Overijssel;P23;4488;4028;;;4028;397;635;900;1251;410;233;21;19;8;7;36;12;12;30;21;17;4;;11;4;;;;;;;;;;;;;;;;
Axel;G0650;11289;Zeeland;P29;2884;2694;64;;2630;394;223;830;501;360;29;169;42;4;17;4;3;18;9;14;6;2;;5;;;;;;;;;;;;;;;;;
Baarderadeel;G0061;10422;Fryslân;P21;3006;2809;58;;2751;95;1114;377;316;370;330;6;5;2;17;71;15;;7;;18;5;;3;;;;;;;;;;;;;;;;;
Baarland;G0651;10634;Zeeland;P29;;378;;;378;89;35;86;68;41;12;20;3;2;1;13;3;1;;3;;;;1;;;;;;;;;;;;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1129;1062;;;1062;1018;11;9;6;3;;;9;;;2;1;;3;;;;;;;;;;;;;;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;6539;6177;272;;5905;966;1139;1260;847;687;571;88;118;22;45;11;11;25;3;14;29;22;2;15;9;;5;;16;;;;;;;;;;;;
Baexem;G0886;11255;Limburg;P31;435;438;;;438;435;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;
Baflo;G0004;10539;Groningen;P20;1455;1354;24;;1330;2;401;608;40;171;68;1;2;2;1;22;3;1;6;;1;1;;;;;;;;;;;;;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;;1174;;;1174;1146;3;;7;1;4;;6;;;1;1;;2;;;;;;;3;;;;;;;;;;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;2076;1878;;;1878;12;167;924;264;197;45;168;10;;43;13;5;;2;3;;3;3;18;1;;;;;;;;;;;;;;;;
Barneveld;G0203;10906;Gelderland;P25;6489;5608;115;;5493;393;452;1437;1808;168;59;980;34;3;70;37;10;;3;1;7;2;2;1;2;;;24;;;;;;;;;;;;;
Barradeel;G0062;10156;Fryslân;P21;4295;4054;75;;3979;58;1062;1109;1218;221;158;3;4;23;13;43;5;5;9;;28;13;;7;;;;;;;;;;;;;;;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;1078;1167;;;1167;56;499;52;21;50;256;10;9;7;5;13;6;7;3;12;9;152;;;;;;;;;;;;;;;;;;;
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;387;353;39;;314;35;12;90;126;4;;40;3;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;;;
Batenburg;G0204;10921;Gelderland;P25;265;242;;;242;189;1;2;44;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;963;912;6;11;895;22;200;10;228;189;196;1;12;1;1;7;5;2;8;6;1;1;;3;2;;;;;;;;;;;;;;;;
Bedum;G0005;10425;Groningen;P20;2925;2801;22;;2779;164;495;1424;64;239;291;;6;5;9;54;7;1;3;1;6;8;;2;;;;;;;;;;;;;;;;;
Beegden;G0887;11089;Limburg;P31;373;356;;;356;350;;;1;2;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;
Beek;G0888;11374;Limburg;P31;2115;1985;;;1985;1790;64;8;40;9;3;;14;2;;1;5;18;7;;;;;1;;23;;;;;;;;;;;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;1355;1279;;;1279;1236;6;5;2;4;;2;11;;;;1;1;8;1;;;;1;;1;;;;;;;;;;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;;2728;25;;2703;631;497;125;31;249;627;6;68;19;3;371;19;7;4;10;6;24;;1;;;;;;;;;;;;5;;;;;
Beers;G0747;11410;Noord-Brabant;P30;435;424;;;424;419;;;;;;;;;;;;4;;;;;;;;1;;;;;;;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;1963;1600;97;;1503;6;468;30;61;253;213;18;3;19;4;9;389;1;13;3;3;1;;6;3;;;;;;;;;;;;;;;;
Beesd;G0205;10259;Gelderland;P25;;1235;;;1235;527;121;77;304;30;17;50;6;3;23;56;1;2;1;;2;5;;1;1;;;;;;;;;8;;;;;;;
Beesel;G0889;10195;Limburg;P31;1667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Beets;G0371;10536;Noord-Holland;P27;279;259;1;6;252;;116;3;5;25;60;;1;1;1;34;;1;1;2;1;;1;;;;;;;;;;;;;;;;;;
Beilen;G0107;10520;Drenthe;P22;3649;3316;92;;3224;23;831;718;869;104;378;12;8;21;10;134;13;2;37;11;21;7;;16;9;;;;;;;;;;;;;;;;
Belfeld;G0890;10292;Limburg;P31;731;713;11;5;697;658;13;1;1;3;2;;5;1;;1;1;;3;;;;;;;8;;;;;;;;;;;;;;;
Bellingwolde;G1019;10340;Groningen;P20;3075;2581;79;;2502;12;1397;134;201;257;312;9;8;30;10;48;23;;21;9;15;2;;5;9;;;;;;;;;;;;;;;;
Bemelen;G0891;10878;Limburg;P31;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bemmel;G0206;10744;Gelderland;P25;3204;2916;;;2916;2536;58;14;189;44;3;13;11;4;1;19;1;8;;;1;7;;2;;;;;;;;;;5;;;;;;;
Bennebroek;G0372;10734;Noord-Holland;P27;882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benschop;G0309;11330;Utrecht;P26;977;916;23;;893;284;19;189;100;8;24;132;4;;17;99;5;;;;;7;;4;;;;;1;;;;;;;;;;;;
Benthuizen;G0490;10398;Zuid-Holland;P28;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;2750;2961;20;45;2896;978;523;73;149;345;544;3;55;10;17;20;33;35;17;64;8;20;2;;;;;;;;;;;;;;;;;;
Bergen;G0893;11281;Limburg;P31;2719;2585;;;2585;2483;21;3;3;2;9;;9;2;;3;3;2;2;;;;;;;42;1;;;;;;;;;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;9958;8693;;;8693;6026;855;350;193;359;153;31;107;15;8;13;17;386;55;48;8;28;4;6;13;14;;;;4;;;;;;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;1197;1143;;;1143;1073;8;2;18;1;3;5;9;2;;4;3;10;3;;;1;1;;;;;;;;;;;;;;;;;;
Bergh;G0207;10350;Gelderland;P25;4473;4080;;;4080;3485;254;25;65;83;53;8;22;3;6;6;10;18;3;6;6;2;2;2;2;;;;;;;;;19;;;;;;;
Bergharen;G0208;10883;Gelderland;P25;853;826;1;2;823;705;1;6;82;15;1;3;3;;;3;;;2;;;;1;;;;;;;;;;;1;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;1127;1028;;;1028;990;14;1;8;;;1;4;;;;1;5;3;;;1;;;;;;;;;;;;;;;;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;890;840;7;23;810;213;38;132;337;24;8;14;2;;12;17;3;;3;2;;1;1;2;;;;;;;;1;;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;1684;1632;18;4;1610;782;28;330;321;15;8;12;1;;78;25;2;1;4;1;;;;;1;;;;;;;1;;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;926;886;;;886;843;4;2;1;1;1;2;5;;;;;23;;;;1;;;1;;;;;2;;;;;;;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;399;350;;;350;1;19;56;14;141;21;57;1;;1;38;;;;;;;;1;;;;;;;;;;;;;;;;;
Berkhout;G0374;10354;Noord-Holland;P27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;1646;1507;;;1507;1422;14;5;12;5;9;;10;;2;4;3;9;3;4;;2;;1;1;;;;;1;;;;;;;;;;;
Best;G0753;10442;Noord-Brabant;P30;1813;1730;;;1730;1644;30;7;3;2;;1;11;;3;3;2;13;7;3;;;;;;1;;;;;;;;;;;;;;;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;1001;995;;;995;966;18;6;2;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;1504;1379;;;1379;1205;35;8;14;55;4;2;8;;;12;3;32;;;;;;1;;;;;;;;;;;;;;;;;
Beusichem;G0210;11182;Gelderland;P25;881;779;;;779;25;148;61;46;120;68;42;2;;;158;3;2;10;6;2;72;3;2;2;;;;;;;;;7;;;;;;;
Beverwijk;G0375;10272;Noord-Holland;P27;4761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bierum;G0008;11294;Groningen;P20;2186;1975;29;;1946;2;196;778;548;91;157;3;;21;102;19;5;2;3;1;3;4;;11;;;;;;;;;;;;;;;;;
